,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycle_Glass,Recycle_Metal,Recycle_Paper,Recycle_Plastic,Cook_Airfryer,Cook_Grill,Cook_Microwave,Cook_Oven,Cook_Stove
0,overweight,female,pescatarian,daily,coal,public,bus,often,230,frequently,210,large,4,7,26,1,0,2238,0,1,0,0,0,0,0,1,1
1,obese,female,vegetarian,less frequently,natural gas,walk/bicycle,none,often,114,rarely,9,extra large,3,9,38,5,0,1892,0,1,0,0,0,0,1,0,1
2,overweight,male,omnivore,more frequently,wood,private,petrol,never,138,never,2472,small,1,14,47,6,1,2595,0,1,0,0,0,0,1,1,0
3,overweight,male,omnivore,twice a day,wood,walk/bicycle,none,sometimes,157,rarely,74,medium,3,20,5,7,1,1074,1,1,1,1,1,1,1,0,0
4,obese,female,vegetarian,daily,coal,private,diesel,often,266,very frequently,8457,large,1,3,5,6,2,4743,0,0,1,0,0,0,0,1,0
5,overweight,male,vegetarian,less frequently,wood,public,bus,sometimes,144,frequently,658,large,1,22,18,9,1,1647,1,1,1,0,0,0,1,1,1
6,underweight,female,vegan,less frequently,wood,private,hybrid,never,56,rarely,5363,medium,4,9,11,19,1,1832,0,0,0,0,1,1,0,0,0
7,underweight,female,vegan,more frequently,coal,walk/bicycle,none,sometimes,59,very frequently,54,extra large,3,5,39,15,0,2322,1,0,1,1,0,0,1,0,1
8,overweight,male,omnivore,daily,wood,public,bus,never,200,frequently,1376,medium,3,3,31,15,2,2494,1,0,0,0,1,1,1,0,0
9,underweight,female,pescatarian,daily,wood,public,bus,often,135,rarely,440,extra large,1,8,23,18,1,1178,1,0,0,0,1,1,1,0,0
10,normal,female,vegetarian,more frequently,wood,public,bus,never,146,never,1561,extra large,4,12,27,21,0,1427,0,0,1,1,0,0,1,0,1
11,obese,male,vegetarian,more frequently,coal,walk/bicycle,none,never,111,very frequently,69,medium,5,9,4,4,1,3226,0,0,0,0,0,0,1,1,1
12,underweight,female,omnivore,twice a day,coal,walk/bicycle,none,often,114,rarely,92,large,3,18,27,4,2,1593,0,0,0,1,0,0,0,0,1
13,underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,111,rarely,2893,large,6,13,16,10,1,1732,1,1,0,1,1,1,1,1,1
14,obese,male,pescatarian,less frequently,natural gas,public,bus,often,123,rarely,1989,small,6,13,23,8,0,1743,0,1,1,1,0,0,0,1,1
15,overweight,female,vegetarian,less frequently,electricity,public,bus,never,225,very frequently,692,small,6,9,24,15,0,2101,1,1,1,1,0,0,0,1,1
